District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Female_ST,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated
101,RAJASTHAN,Bikaner,2363937,1240801,1123136,1278801,782399,496402,3572,499223,103833,26244,356908,2073356,235741,1901,20072,285,30850,79,410155,333211,254335,143669,80296,101714,18577,1341957,1015331,2357288,1543867,517271,288165,14634
102,RAJASTHAN,Churu,2039547,1051446,988101,1149269,696729,452540,5342,572644,87983,16594,225608,1777879,249736,958,402,188,7104,127,336671,302022,237220,161520,100677,77282,13320,1228712,910226,2138938,1293193,458725,272176,15453
103,RAJASTHAN,Jhunjhunun,2137045,1095896,1041149,1370360,815834,554526,20249,521692,68878,13472,290607,1905682,228178,1004,275,56,548,85,296093,305626,301866,256621,192240,158936,25286,1536668,712584,2249252,1298780,494124,330126,14015
104,RAJASTHAN,Alwar,3674179,1939026,1735153,2182476,1359829,822647,135852,898891,216772,34562,558317,3039279,547335,2696,64532,4384,13221,348,492781,492981,468628,324050,230415,222622,31390,2262867,1384905,3647772,2346721,836000,490137,1321
105,RAJASTHAN,Bharatpur,2548462,1355726,1192736,1480869,943910,536959,25385,500994,238894,25068,306198,2143046,371286,1576,23456,899,5758,18,363676,330336,314953,211938,147520,132571,23311,1524305,1104824,2629129,1659515,546362,329127,13458
106,RAJASTHAN,Dhaulpur,1206516,653647,552869,683098,435721,247377,26792,229936,74342,12721,206213,1127520,72258,688,1356,92,2739,21,207566,172914,132964,77360,45590,37856,8194,682444,552106,1234550,815651,248416,141365,1084
107,RAJASTHAN,Karauli,1458248,783639,674609,805849,531904,273945,148760,335302,115367,9521,168536,1370977,81553,602,297,70,3424,413,220644,193938,170399,104208,69443,67639,14402,840673,668926,1509599,947173,310688,192042,8345
108,RAJASTHAN,Sawai Madhopur,1335551,704031,631520,741748,486184,255564,133103,313358,88804,12070,163836,1165505,155681,945,812,177,9991,42,205450,172925,151108,87349,57625,70870,14384,759711,586492,1346203,841697,309237,183234,1383
109,RAJASTHAN,Dausa,1634409,857787,776622,938051,596935,341116,204790,390960,76277,17185,200073,1582335,45488,439,296,94,3737,115,229035,235474,208537,135234,92559,90833,13764,1005436,681980,1687416,1047136,358718,210117,18438
110,RAJASTHAN,Jaipur,6626178,3468507,3157671,4300965,2554793,1746172,251328,744374,131523,91011,1497985,5819980,687452,12708,18782,1020,81079,257,819004,875940,823570,659389,455527,703673,96562,4433665,2046038,6479703,4091148,1646480,884057,4493
111,RAJASTHAN,Sikar,2677333,1374990,1302343,1652117,995275,656842,36251,501311,87889,22776,394528,2342076,327583,1122,356,177,4050,15,369959,438872,367412,282595,200430,181282,19321,1859871,967497,2827368,1672813,605002,381226,18292
112,RAJASTHAN,Nagaur,3307743,1696325,1611418,1758624,1102750,655874,4943,734614,263401,29647,398220,2833443,454487,1912,366,163,12940,276,513871,486057,388822,242053,147701,117444,14853,1910801,1533137,3443938,2088323,754143,463469,1808
113,RAJASTHAN,Jodhpur,3687165,1923928,1763237,2031532,1265753,765779,56955,592370,242017,42412,612942,3224399,411558,6035,4123,514,36697,80,497762,512035,405132,259304,154789,177199,30720,2036941,1591957,3628898,2359786,836322,489280,1777
114,RAJASTHAN,Jaisalmer,669919,361708,308211,308653,210415,98238,19932,132466,43872,6835,105730,497045,168129,874,1723,98,1521,34,109484,71132,41264,20142,12759,10604,1720,267105,397649,664754,448969,140294,79977,679
115,RAJASTHAN,Barmer,2603751,1369022,1234729,1188322,783461,404861,83647,754260,132696,30565,284961,2244882,321192,1157,450,157,34010,34,406804,352636,219932,101291,52272,39533,7328,1179796,1501858,2681654,1731122,527629,326476,18524
116,RAJASTHAN,Jalor,1828730,936634,892096,829582,543923,285659,85429,493355,158013,21867,223409,1732852,78990,730,231,144,14640,82,270997,277152,181691,75304,32366,25210,7850,870570,1033534,1904104,1176496,390598,249379,12257
